Word,Pinyin,Translation,Example,Example_Translation
损坏,sǔn huài,Damage,货物毫无损坏地到达了。,The goods arrived undamaged.
未成年人,wèi chéng nián rén,Minor,N/A,N/A
百货商店,bǎi huò shāng diàn,Department store,百货商店前有个书店。,There is a bookstore in front of the department store.
衣领,yī lǐng,Collar,N/A,N/A
裸身,luǒ shēn,Naked body,N/A,N/A
伪装,wěi zhuāng,Camouflage,你不能指望他们认不出你的伪装。那个歪半边的一角店胡子是致命漏洞！,"You can't seriously expect that they won't recognize you in that disguise. That lopsided, dime store moustache is a dead giveaway!"
云储存,yún chǔ cún,Cloud storage,N/A,N/A
除此以外,chú cǐ yǐ wài,Other than that,N/A,N/A
纳西,nà xī,Nasdi,N/A,N/A
拉起,lā qǐ,Pull up,N/A,N/A
意图,yì tú,Intention,我把我的意图告诉了我父母。,I made known my intentions to my parents.
意向,yì xiàng,Intention,N/A,N/A
柱塞,zhù sāi,Plunger,N/A,N/A
包裹,bāo guǒ,Pack,她用繩子把包裹緊緊綁好了。,She tied up the parcel with string.
实施,shí shī,Implement,“单独二胎”政策已经在上海实施，将来可能会在全国推行。,"The “One Only Child Parent for Two Children” policy is already in effect in Shanghai. In the future, it's possible that it will be implemented throughout China."
总和,zǒng hé,Sum,仅太平洋的面积就比所有的大陆的总和面积还要大。,The Pacific Ocean alone covers an area larger than that of all continents put together.
随机,suí jī,Random,为什么随机句子中的人总是叫汤姆？,Why are people always called Tom in random sentences?
链条,liàn tiáo,Chain,N/A,N/A
反之亦然,fǎn zhī yì rán,Vice versa,N/A,N/A
定时器,dìng shí qì,Timer,N/A,N/A
持续的,chí xù de,Continuous,N/A,N/A
故障,gù zhàng,Fault,我的电视机出故障了，所以我不得不拿去修。,"My television was broken down, so I had to get it repaired."
无形,wú xíng,Invisible,N/A,N/A
慈悲,cí bēi,Mercy,N/A,N/A
嘟哝,dū nóng,Mumble,N/A,N/A
瞌睡,kē shuì,Sleep,汤姆在法语课上打瞌睡了。,Tom dozed off in French class.
毅,yì,Resolute,学好一门外语需要坚韧不拔的毅力。,Mastering a foreign language involves a lot of patience.
祭,jì,Sacrifice,京都以它的祭坛和寺院而闻名。,Kyoto is famous for its shrines and temples.
彗星,huì xīng,Comet,哈雷彗星將在2061回來。,Halley's Comet will come back in 2061.
滥用,làn yòng,Abuse,反垄断法律的目的是停止滥用市场影响力的大公司.,The purpose of antitrust law is to stop the abusive influence of the market by big companies.
绚烂,xuàn làn,Gorgeous,N/A,N/A
怠惰,dài duò,Lazy,N/A,N/A
恳求,kěn qiú,Plead,他恳求我留下来。,He begged me to stay.
回溯,huí sù,Trace,N/A,N/A
敷衍,fū yǎn,Perfunctory,N/A,N/A
贩卖机,fàn mài jī,Vendor,N/A,N/A
罪魁祸首,zuì kuí huò shǒu,Culprit,该报文章中将被告人描述成一个罪魁祸首，尽管他已经被证明是无辜的了。,"The news article painted the defendant as a guilty man, even though he had been proven innocent."
羞耻,xiū chǐ,Shame,提问对他来说是很羞耻的事。,He is ashamed to ask questions.
罕见,hǎn jiàn,Rare,能在日本找到这样的大的院子实属罕见。,It's rare to find big yards in Japan.
无拘无束,wú jū wú shù,Unrestrained,N/A,N/A
铸造,zhù zào,Cast,N/A,N/A
